test_quarter,tau,domain,method,bin,lo,hi,n,mean_p,mean_y
2025Q3,24h,Politics,platt,0,0.0475533883301374,0.07588707620196306,38,0.052027810127629484,0.0
2025Q3,24h,Politics,platt,1,0.07588707620196306,0.15155010479426703,48,0.10463397129410239,0.08333333333333333
2025Q3,24h,Politics,platt,2,0.15155010479426703,0.28519623387418647,46,0.22716080323721607,0.10869565217391304
2025Q3,24h,Politics,platt,3,0.28519623387418647,0.3509010803506744,45,0.3139282272635358,0.28888888888888886
2025Q3,24h,Politics,platt,4,0.3509010803506744,0.4407717419291092,43,0.39092515986179477,0.46511627906976744
2025Q3,24h,Politics,platt,5,0.4407717419291092,0.5619067778627675,46,0.5103028927111933,0.5
2025Q3,24h,Politics,platt,6,0.5619067778627675,0.6305012812934668,40,0.5983940508374805,0.675
2025Q3,24h,Politics,platt,7,0.6305012812934668,0.7123010454807495,45,0.662237106368315,0.6888888888888889
2025Q3,24h,Politics,platt,8,0.7123010454807495,0.8164225205565763,44,0.7490447392183754,0.8181818181818182
2025Q3,24h,Politics,platt,9,0.8164225205565763,0.9447437243180098,48,0.8856407598452325,0.9791666666666666
2025Q3,24h,Sports,platt,0,0.0475533883301374,0.11367881589557084,570,0.07419804434453542,0.05964912280701754
2025Q3,24h,Sports,platt,1,0.11367881589557084,0.19906019731239527,641,0.15382295359154705,0.17004680187207488
2025Q3,24h,Sports,platt,2,0.19906019731239527,0.2563865201182612,532,0.2253942302197473,0.24436090225563908
2025Q3,24h,Sports,platt,3,0.2563865201182612,0.323775307965975,671,0.2817795396864833,0.26527570789865873
2025Q3,24h,Sports,platt,4,0.323775307965975,0.401551203325008,689,0.3576415576056772,0.36429608127721336
2025Q3,24h,Sports,platt,5,0.401551203325008,0.450613449442438,528,0.42211272928716254,0.4602272727272727
2025Q3,24h,Sports,platt,6,0.450613449442438,0.5099844691278157,710,0.475026932850322,0.48169014084507045
2025Q3,24h,Sports,platt,7,0.5099844691278157,0.5799839408493976,593,0.5368511386735305,0.5160202360876898
2025Q3,24h,Sports,platt,8,0.5799839408493976,0.7123010454807495,658,0.6367618941491436,0.648936170212766
2025Q3,24h,Sports,platt,9,0.7123010454807495,0.9447437243180098,632,0.8131814148116545,0.805379746835443
2025Q3,24h,Politics,venn_abers,0,0.052397992508192416,0.057783018867924536,32,0.05268897584932252,0.0
2025Q3,24h,Politics,venn_abers,1,0.057783018867924536,0.14937759336099585,54,0.10134050978080511,0.07407407407407407
2025Q3,24h,Politics,venn_abers,2,0.14937759336099585,0.2841648590021692,46,0.22353665200639156,0.10869565217391304
2025Q3,24h,Politics,venn_abers,3,0.2841648590021692,0.3616279069767442,39,0.31378261676572017,0.2564102564102564
2025Q3,24h,Politics,venn_abers,4,0.3616279069767442,0.4525139664804469,49,0.3902489147338445,0.46938775510204084
2025Q3,24h,Politics,venn_abers,5,0.4525139664804469,0.608958474843185,42,0.5143440284392468,0.5238095238095238
2025Q3,24h,Politics,venn_abers,6,0.608958474843185,0.6090116279069768,21,0.6089584748431849,0.5238095238095238
2025Q3,24h,Politics,venn_abers,7,0.6090116279069768,0.6996699669966998,68,0.6445520333625047,0.7058823529411765
2025Q3,24h,Politics,venn_abers,8,0.6996699669966998,0.800498753117207,39,0.723995694738772,0.8461538461538461
2025Q3,24h,Politics,venn_abers,9,0.800498753117207,0.9466666666666668,53,0.8659478437777975,0.9433962264150944
2025Q3,24h,Sports,venn_abers,0,0.052397992508192416,0.12669245647969052,570,0.07358634450238559,0.05964912280701754
2025Q3,24h,Sports,venn_abers,1,0.12669245647969052,0.19878603945371776,641,0.1534825207335213,0.17004680187207488
2025Q3,24h,Sports,venn_abers,2,0.19878603945371776,0.26625766871165646,417,0.20276123028568532,0.2182254196642686
2025Q3,24h,Sports,venn_abers,3,0.26625766871165646,0.3306772908366534,786,0.27913600023546953,0.27608142493638677
2025Q3,24h,Sports,venn_abers,4,0.3306772908366534,0.40091868498975025,600,0.3607439426530968,0.36333333333333334
2025Q3,24h,Sports,venn_abers,5,0.40091868498975025,0.4591439688715953,617,0.41912680920433587,0.4473257698541329
2025Q3,24h,Sports,venn_abers,6,0.4591439688715953,0.5327102803738317,710,0.4739321991393837,0.48169014084507045
2025Q3,24h,Sports,venn_abers,7,0.5327102803738317,0.608958474843185,452,0.5458077791903655,0.5243362831858407
2025Q3,24h,Sports,venn_abers,8,0.608958474843185,0.6996699669966998,799,0.6405028237850499,0.6207759699624531
2025Q3,24h,Sports,venn_abers,9,0.6996699669966998,0.9466666666666668,632,0.7979970666313636,0.805379746835443
2024Q4,1w,Politics,raw,0,0.05,0.06,1,0.05,0.0
2024Q4,1w,Politics,raw,1,0.06,0.07400000000000002,8,0.0625,0.0
2024Q4,1w,Politics,raw,2,0.07400000000000002,0.12600000000000006,4,0.1,0.0
2024Q4,1w,Politics,raw,3,0.12600000000000006,0.16,2,0.14500000000000002,0.0
2024Q4,1w,Politics,raw,4,0.16,0.19,5,0.168,0.0
2024Q4,1w,Politics,raw,5,0.19,0.24600000000000005,5,0.20999999999999996,0.2
2024Q4,1w,Politics,raw,6,0.24600000000000005,0.37,3,0.2966666666666667,0.6666666666666666
2024Q4,1w,Politics,raw,7,0.37,0.48800000000000004,5,0.40800000000000003,0.6
2024Q4,1w,Politics,raw,8,0.48800000000000004,0.8369999999999997,4,0.595,0.75
2024Q4,1w,Politics,raw,9,0.8369999999999997,0.94,5,0.8800000000000001,1.0
2024Q4,1w,Sports,raw,0,0.05,0.069,4,0.055,0.0
2024Q4,1w,Sports,raw,1,0.069,0.08,3,0.07,0.0
2024Q4,1w,Sports,raw,2,0.08,0.08700000000000001,5,0.08,0.0
2024Q4,1w,Sports,raw,3,0.08700000000000001,0.136,4,0.10250000000000001,0.0
2024Q4,1w,Sports,raw,4,0.136,0.16999999999999998,4,0.15000000000000002,0.25
2024Q4,1w,Sports,raw,5,0.16999999999999998,0.3820000000000004,4,0.2425,0.5
2024Q4,1w,Sports,raw,6,0.3820000000000004,0.763,4,0.6275,0.75
2024Q4,1w,Sports,raw,7,0.763,0.82,3,0.7933333333333333,0.6666666666666666
2024Q4,1w,Sports,raw,8,0.82,0.883,5,0.836,0.8
2024Q4,1w,Sports,raw,9,0.883,0.95,4,0.9325000000000001,1.0
2024Q4,1w,Politics,platt,0,0.04423630682159207,0.053606726757921934,1,0.04423630682159207,0.0
2024Q4,1w,Politics,platt,1,0.053606726757921934,0.06690043172567164,8,0.05597229204703523,0.0
2024Q4,1w,Politics,platt,2,0.06690043172567164,0.1173551869906145,4,0.0919484363030871,0.0
2024Q4,1w,Politics,platt,3,0.1173551869906145,0.1510706467976867,2,0.1361327066897392,0.0
2024Q4,1w,Politics,platt,4,0.1510706467976867,0.1812038779913083,5,0.15909260303019562,0.0
2024Q4,1w,Politics,platt,5,0.1812038779913083,0.23817309112997773,5,0.20150162090661747,0.2
2024Q4,1w,Politics,platt,6,0.23817309112997773,0.36650727729687854,3,0.2904163913286136,0.6666666666666666
2024Q4,1w,Politics,platt,7,0.36650727729687854,0.48994200498627594,5,0.4062305727552259,0.6
2024Q4,1w,Politics,platt,8,0.48994200498627594,0.8482687500234674,4,0.6013651053511619,0.75
2024Q4,1w,Politics,platt,9,0.8482687500234674,0.9474020453634573,5,0.8902100364111298,1.0
2024Q4,1w,Sports,platt,0,0.04423630682159207,0.062122761798729824,4,0.048921516789757,0.0
2024Q4,1w,Sports,platt,1,0.062122761798729824,0.07261173167497718,3,0.06306898791437514,0.0
2024Q4,1w,Sports,platt,2,0.07261173167497718,0.07934186438209348,5,0.07261173167497718,0.0
2024Q4,1w,Sports,platt,3,0.07934186438209348,0.12721137171569477,4,0.0944090066771531,0.0
2024Q4,1w,Sports,platt,4,0.12721137171569477,0.16109809208832288,4,0.14111873437515443,0.25
2024Q4,1w,Sports,platt,5,0.16109809208832288,0.3792885832053138,4,0.2348497684553125,0.5
2024Q4,1w,Sports,platt,6,0.3792885832053138,0.774558394130886,4,0.6348783475908681,0.75
2024Q4,1w,Sports,platt,7,0.774558394130886,0.8317014361373096,3,0.8050523594949993,0.6666666666666666
2024Q4,1w,Sports,platt,8,0.8317014361373096,0.8934092144775009,5,0.8474325493905026,0.8
2024Q4,1w,Sports,platt,9,0.8934092144775009,0.9566042181425705,4,0.9403028422139577,1.0
2024Q4,1w,Politics,venn_abers,0,0.028571428571428574,0.09505703422053231,1,0.028571428571428574,0.0
2024Q4,1w,Politics,venn_abers,1,0.09505703422053231,0.1081081081081081,6,0.09505703422053231,0.0
2024Q4,1w,Politics,venn_abers,2,0.1081081081081081,0.1360389565601248,6,0.11432559319883263,0.0
2024Q4,1w,Politics,venn_abers,3,0.1360389565601248,0.1851851851851852,2,0.16562112982734478,0.0
2024Q4,1w,Politics,venn_abers,5,0.1851851851851852,0.20408163265306123,9,0.1851851851851852,0.1111111111111111
2024Q4,1w,Politics,venn_abers,6,0.20408163265306123,0.43478260869565216,4,0.22062272341699518,0.5
2024Q4,1w,Politics,venn_abers,7,0.43478260869565216,0.47058823529411764,2,0.43478260869565216,0.5
2024Q4,1w,Politics,venn_abers,8,0.47058823529411764,0.8704263962701755,7,0.5454086890329908,0.7142857142857143
2024Q4,1w,Politics,venn_abers,9,0.8704263962701755,0.9615384615384615,5,0.897100230101195,1.0
2024Q4,1w,Sports,venn_abers,0,0.028571428571428574,0.10680300071935053,4,0.06181423139598044,0.0
2024Q4,1w,Sports,venn_abers,3,0.1081081081081081,0.14531734973996777,12,0.11121685065347037,0.0
2024Q4,1w,Sports,venn_abers,4,0.14531734973996777,0.1851851851851852,2,0.1576885406464251,0.0
2024Q4,1w,Sports,venn_abers,5,0.1851851851851852,0.31068427370948437,6,0.19148400100781057,0.5
