method,fit_scope,domain,tau,alpha,metric,value,n_test
Raw,per_domain,Sports,24h,NA,ece,0.016540519547769066,23174
Platt,per_domain,Sports,24h,NA,brier,0.19675290485221839,23174
Platt,per_domain,Sports,24h,NA,log_loss,0.5744246997448401,23174
Platt,per_domain,Sports,24h,NA,ece,0.014399167216323085,23174
Isotonic,per_domain,Sports,24h,NA,brier,0.19839008790052387,23174
Isotonic,per_domain,Sports,24h,NA,log_loss,0.5876093886317205,23174
Isotonic,per_domain,Sports,24h,NA,ece,0.03308848605854264,23174
HistogramBinning,per_domain,Sports,24h,NA,brier,0.19922858791746612,23174
HistogramBinning,per_domain,Sports,24h,NA,log_loss,0.580703326243436,23174
HistogramBinning,per_domain,Sports,24h,NA,ece,0.033750215008157336,23174
VennAbers,per_domain,Sports,24h,NA,brier,0.1982287501243379,23174
VennAbers,per_domain,Sports,24h,NA,log_loss,0.5780706908961561,23174
VennAbers,per_domain,Sports,24h,NA,ece,0.03135976261099219,23174
Conformal-marginal,per_domain,Sports,24h,NA,brier,0.19672643911279883,23174
Conformal-marginal,per_domain,Sports,24h,NA,log_loss,0.5745580563999474,23174
Conformal-marginal,per_domain,Sports,24h,NA,ece,0.016540519547769066,23174
Conformal-marginal,per_domain,Sports,24h,0.1,coverage,0.9235781479243981,23174
Conformal-marginal,per_domain,Sports,24h,0.1,avg_set_size,1.5642530422024683,23174
Conformal-marginal,per_domain,Sports,24h,0.05,coverage,0.9615085872098041,23174
Conformal-marginal,per_domain,Sports,24h,0.05,avg_set_size,1.7114870113057736,23174
Conformal-marginal,per_domain,Sports,24h,0.2,coverage,0.7967118322257702,23174
Conformal-marginal,per_domain,Sports,24h,0.2,avg_set_size,1.2353499611633727,23174
Conformal-mondrian,per_domain,Sports,24h,NA,brier,0.19672643911279883,23174
Conformal-mondrian,per_domain,Sports,24h,NA,log_loss,0.5745580563999474,23174
Conformal-mondrian,per_domain,Sports,24h,NA,ece,0.016540519547769066,23174
Conformal-mondrian,per_domain,Sports,24h,0.1,coverage,0.9235781479243981,23174
Conformal-mondrian,per_domain,Sports,24h,0.1,avg_set_size,1.5642530422024683,23174
Conformal-mondrian,per_domain,Sports,24h,0.05,coverage,0.9615085872098041,23174
Conformal-mondrian,per_domain,Sports,24h,0.05,avg_set_size,1.7114870113057736,23174
Conformal-mondrian,per_domain,Sports,24h,0.2,coverage,0.7967118322257702,23174
Conformal-mondrian,per_domain,Sports,24h,0.2,avg_set_size,1.2353499611633727,23174
Raw,per_domain,Crypto,24h,NA,brier,0.207154303030303,825
Raw,per_domain,Crypto,24h,NA,log_loss,0.6097780260804434,825
Raw,per_domain,Crypto,24h,NA,ece,0.09113939393939399,825
Platt,per_domain,Crypto,24h,NA,brier,0.2143934100203294,825
Platt,per_domain,Crypto,24h,NA,log_loss,0.6243502587530522,825
Platt,per_domain,Crypto,24h,NA,ece,0.12349068648893151,825
Isotonic,per_domain,Crypto,24h,NA,brier,0.2167731273441893,825
Isotonic,per_domain,Crypto,24h,NA,log_loss,0.6394100644177455,825
Isotonic,per_domain,Crypto,24h,NA,ece,0.12358104221722874,825
HistogramBinning,per_domain,Crypto,24h,NA,brier,0.2180931619025579,825
HistogramBinning,per_domain,Crypto,24h,NA,log_loss,0.6371439935504347,825
HistogramBinning,per_domain,Crypto,24h,NA,ece,0.12196515838453723,825
VennAbers,per_domain,Crypto,24h,NA,brier,0.21525895372268689,825
VennAbers,per_domain,Crypto,24h,NA,log_loss,0.6304233549065678,825
VennAbers,per_domain,Crypto,24h,NA,ece,0.11925397284757032,825
Conformal-marginal,per_domain,Crypto,24h,NA,brier,0.207154303030303,825
Conformal-marginal,per_domain,Crypto,24h,NA,log_loss,0.6097780260804434,825
Conformal-marginal,per_domain,Crypto,24h,NA,ece,0.09113939393939399,825
Conformal-marginal,per_domain,Crypto,24h,0.1,coverage,0.8836363636363637,825
Conformal-marginal,per_domain,Crypto,24h,0.1,avg_set_size,1.4678787878787878,825
Conformal-marginal,per_domain,Crypto,24h,0.05,coverage,0.9563636363636364,825
Conformal-marginal,per_domain,Crypto,24h,0.05,avg_set_size,1.7418181818181817,825
Conformal-marginal,per_domain,Crypto,24h,0.2,coverage,0.7624242424242424,825
Conformal-marginal,per_domain,Crypto,24h,0.2,avg_set_size,1.1515151515151516,825
Conformal-mondrian,per_domain,Crypto,24h,NA,brier,0.207154303030303,825
Conformal-mondrian,per_domain,Crypto,24h,NA,log_loss,0.6097780260804434,825
Conformal-mondrian,per_domain,Crypto,24h,NA,ece,0.09113939393939399,825
Conformal-mondrian,per_domain,Crypto,24h,0.1,coverage,0.8836363636363637,825
Conformal-mondrian,per_domain,Crypto,24h,0.1,avg_set_size,1.4678787878787878,825
Conformal-mondrian,per_domain,Crypto,24h,0.05,coverage,0.9563636363636364,825
Conformal-mondrian,per_domain,Crypto,24h,0.05,avg_set_size,1.7418181818181817,825
Conformal-mondrian,per_domain,Crypto,24h,0.2,coverage,0.7624242424242424,825
Conformal-mondrian,per_domain,Crypto,24h,0.2,avg_set_size,1.1515151515151516,825
Raw,per_domain,Politics,24h,NA,brier,0.1801702743902439,1312
Raw,per_domain,Politics,24h,NA,log_loss,0.5299145561010813,1312
Raw,per_domain,Politics,24h,NA,ece,0.056890243902439006,1312
Platt,per_domain,Politics,24h,NA,brier,0.17876357584207794,1312
Platt,per_domain,Politics,24h,NA,log_loss,0.5289236147279729,1312
Platt,per_domain,Politics,24h,NA,ece,0.04816187773745248,1312
Isotonic,per_domain,Politics,24h,NA,brier,0.1794213784984323,1312
Isotonic,per_domain,Politics,24h,NA,log_loss,0.5291154728098988,1312
Isotonic,per_domain,Politics,24h,NA,ece,0.050890384580240894,1312
HistogramBinning,per_domain,Politics,24h,NA,brier,0.18045269022167376,1312
HistogramBinning,per_domain,Politics,24h,NA,log_loss,0.5321433347646378,1312
HistogramBinning,per_domain,Politics,24h,NA,ece,0.05251444122300955,1312
VennAbers,per_domain,Politics,24h,NA,brier,0.18020831489201183,1312
VennAbers,per_domain,Politics,24h,NA,log_loss,0.5326966671942771,1312
VennAbers,per_domain,Politics,24h,NA,ece,0.05523291942159572,1312
Conformal-marginal,per_domain,Politics,24h,NA,brier,0.1801702743902439,1312
Conformal-marginal,per_domain,Politics,24h,NA,log_loss,0.5299145561010813,1312
Conformal-marginal,per_domain,Politics,24h,NA,ece,0.056890243902439006,1312
Conformal-marginal,per_domain,Politics,24h,0.1,coverage,0.9352134146341463,1312
