tau,domain,fit_scope,method,metric,value,raw_value,delta_vs_raw,n_test,n_quarters
1w,ALL,per_domain,raw,ece,0.03283818938605615,0.03283818938605615,0.0,3844.0,4.0
1w,ALL,per_domain,platt,ece,0.029174474415181006,0.03283818938605615,-0.0036637149708751426,3844.0,4.0
1w,ALL,per_domain,isotonic,ece,0.04055995313248398,0.03283818938605615,0.007721763746427829,3844.0,4.0
1w,ALL,per_domain,binning10,ece,0.03810972168007484,0.03283818938605615,0.005271532294018694,3844.0,4.0
1w,ALL,per_domain,venn_abers,ece,0.040925775872221924,0.03283818938605615,0.008087586486165775,3844.0,4.0
1w,ALL,per_domain,raw,log_loss,0.468400347414781,0.468400347414781,0.0,3844.0,4.0
1w,ALL,per_domain,platt,log_loss,0.46969617909603134,0.468400347414781,0.001295831681250359,3844.0,4.0
1w,ALL,per_domain,isotonic,log_loss,0.5203092962477722,0.468400347414781,0.05190894883299124,3844.0,4.0
1w,ALL,per_domain,binning10,log_loss,0.4896132659893306,0.468400347414781,0.0212129185745496,3844.0,4.0
1w,ALL,per_domain,venn_abers,log_loss,0.47295955274443396,0.468400347414781,0.004559205329652982,3844.0,4.0
1w,Entertainment,per_domain,raw,brier,0.1491677248677248,0.1491677248677248,0.0,1134.0,4.0
