domain,time_bin,size_bin,n_ours,slope_ours,slope_le,delta
Sports,2d-1w,Large,427700,1.041704317070303,1.041704317070303,0.0
Sports,1w-1mo,Single,56265,1.1622233805424238,1.1622233805424238,0.0
Sports,1w-1mo,Small,162565,1.065993056430808,1.0659930564308082,-2.220446049250313e-16
Sports,1w-1mo,Medium,281501,1.1633997209944928,1.1633997209944926,2.220446049250313e-16
Sports,1w-1mo,Large,168171,1.2468710938721679,1.246871093872168,-2.220446049250313e-16
Sports,1mo+,Single,22518,1.1697298120216144,1.1697298120216142,2.220446049250313e-16
Sports,1mo+,Small,64194,1.2018183471398756,1.2018183471398758,-2.220446049250313e-16
Sports,1mo+,Medium,117593,1.5346697463558177,1.534669746355818,-4.440892098500626e-16
Sports,1mo+,Large,76338,1.7628055045755466,1.7628055045755469,-2.220446049250313e-16
Weather,0-1h,Single,472,0.990955866789288,0.990955866789288,0.0
Weather,0-1h,Small,1808,0.9883476265674408,0.9883476265674408,0.0
